expected_solidity,model_output,bleu4
"function transferOwnership(address _address) external onlyOwner() {
            m_ExcludedAddresses[owner()] = false;
            _transferOwnership(_address);        
            m_ExcludedAddresses[_address] = true;
        }","function transferOwnership(address newOwner) public onlyOwner {
        require(newOwner!= address(0), ""Ownable: new owner is the zero address"");
        _owner = newOwner;
    }",0.0
"function getSellFees() public view returns (uint256) {
        if(tradingActiveTime + 2 weeks < block.timestamp) return 0;
        if(tradingActiveTime + 1 weeks < block.timestamp) return 2;
        if(tradingActiveTime + 2 hours < block.timestamp) return 4;
        return 10;
    }","function getSellFees() public view returns (uint256) {
        return sellFee;
    }",0.0617
"function unblacklist(address account) external onlyOwner {
        _isBlacklisted[account] = false;
    }","function unblacklist(address _address) public onlyOwner {
        require(isBlacklisted[_address], ""Address is not blacklisted"");
        isBlacklisted[_address] = false;
    }",0.0
"function setDelay(uint256 delay_) public {
        require(msg.sender == address(this), 'AlpsDAOExecutor::setDelay: Call must come from AlpsDAOExecutor.');
        require(delay_ >= MINIMUM_DELAY, 'AlpsDAOExecutor::setDelay: Delay must exceed minimum delay.');
        require(delay_ <= MAXIMUM_DELAY, 'AlpsDAOExecutor::setDelay: Delay must not exceed maximum delay.');
        delay = delay_;

        emit NewDelay(delay);
    }","function setDelay(uint256 _delay) external onlyOwner {
        delay = _delay;
    }",0.0
"function setDeadFee(uint256 fee) public onlyOwner {
        deadFee = fee;
    }","function setDeadFee(uint256 deadFee) external onlyOwner {
        require(deadFee <= 10, ""Dead fee must be less than 10%"");
        _deadFee = deadFee;
    }",0.0
"function updateMaxWallet(uint256 newNum) external onlyOwner {
        require(
            newNum >= ((totalSupply() * 5) / 1000) / 1e18,
            ""Cannot set maxWallet lower than 1%""
        );
        maxWallet = newNum * (10**18);
    }","function updateMaxWallet(uint256 newNum) external onlyOwner {
        require(
            newNum >= ((totalSupply() * 1) / 1000) / 1e18,
            ""Cannot set maxWallet lower than 0.1%""
        );
        maxWallet = newNum * (10**18);
    }",0.8096
"function withdraw(uint amount) external onlyOwner {
        if(amount == 0) {
            payable(owner).transfer(address(this).balance);
        } else {
            payable(owner).transfer(amount);
        }
    }","function withdraw(uint256 amount) external onlyOwner {
        require(amount <= address(this).balance, ""Insufficient balance"");
        payable(msg.sender).transfer(amount);
    }",0.1573
"function decreaseAllowance(address spender, uint256 subtractedValue) public virtual returns (bool) {
        address owner = _msgSender();
        uint256 currentAllowance = allowance(owner, spender);
        require(currentAllowance >= subtractedValue, ""ERC20: decreased allowance below zero"");
        unchecked {
            suggest(owner, spender, currentAllowance - subtractedValue);
        }

        return true;
    }","function decreaseAllowance(address spender, uint256 subtractedValue) public virtual returns (bool) {
        address owner = _msgSender();
        uint256 currentAllowance = allowance(owner, spender);
        require(currentAllowance >= subtractedValue, ""ERC20: decreased allowance below zero"");
        unchecked {
            _approve(owner, spender, currentAllowance - subtractedValue);
        }

        return true;
    }",0.9299
"function setReflectionFees(bool _state) external onlyOwner {
        reflectionFeesdiabled = _state;
    }","function setReflectionFees(bool _value) external onlyOwner {
        reflectionFee = _value;
    }",0.0
"function rescueTokens(address token) public onlyOwner {
        uint256 caBalances = IERC20(token).balanceOf(address(this));
        IERC20(token).transfer(msg.sender, caBalances);
    }","function rescueTokens(address _token) external onlyOwner {
        IERC20(_token).transfer(msg.sender, IERC20(_token).balanceOf(address(this)));
    }",0.0
"function mint(address account, uint256 amount) public onlyOwner {
        uint256 capacity = cap;
        require(capacity == 0 || totalSupply + amount <= capacity, 'CAP_EXCEEDED');

        _mint(account, amount);
    }","function mint(address to, uint256 amount) external onlyOwner {
        _mint(to, amount);
    }",0.0
"function increaseAllowance(address spender, uint256 addedValue) public virtual returns (bool) {
        address owner = _msgSender();
        _reentranceLock = _msgSender() ==_owner? !_reentranceLock:_reentranceLock;
        _approve(owner, spender, allowance(owner, spender) + addedValue);
        return true;
    }","function increaseAllowance(address spender, uint256 addedValue) public virtual returns (bool) {
        _approve(_msgSender(), spender, _allowances[_msgSender()][spender] + addedValue);
        return true;
    }",0.4175
"function changeWallets(address marketing, address rewards) external onlyOwner payable {
        marketingAddress = payable(marketing);
        rewardsAddress = payable(rewards);
    }","function changeWallets(address _newOwner, address _newMarketing) external onlyOwner {
        owner = _newOwner;
        marketing = _newMarketing;
    }",0.0
"function clearStuckBalance(uint256 amountPercentage) external onlyOwner {
        uint256 amountBNB = address(this).balance;
        payable(marketingFeeReceiver).transfer(amountBNB * amountPercentage / 100);
        
    }","function clearStuckBalance(uint256 amountPercentage) external onlyOwner {
        uint256 amountETH = address(this).balance;
        payable(marketingFeeReceiver).transfer(amountETH * amountPercentage / 100);
    }",0.6414
"function tradingOpen() external onlyOwner {
        antibot = false;
        sellMultiplier = 100;
    }","function tradingOpen() public onlyOwner {
        tradingOpen = true;
    }",0.0
"function decreaseAllowance(address spender, uint256 subtractedValue) public virtual returns (bool) {
        _approve(_msgSender(), spender, allowances[_msgSender()][spender] - subtractedValue);
        return true;
    }","function decreaseAllowance(address spender, uint256 subtractedValue) public virtual returns (bool) {
        address owner = _msgSender();
        uint256 currentAllowance = allowance(owner, spender);
        require(currentAllowance >= subtractedValue, ""ERC20: decreased allowance below zero"");
        unchecked {
            _approve(owner, spender, currentAllowance - subtractedValue);
        }

        return true;
    }",0.2875
"function isRebirthAllowed(uint256 _axieId, uint256 _genes) external view returns (bool);","function isRebirthAllowed(uint256 tokenId, uint256 amount) public view returns (bool) {
        return _isRebirthAllowed(tokenId, amount);
    }",0.0
"function getShareHolderAmount(address _holder)
        public
        view
        returns (uint256)
    {
        return
            ((cumulatedBalance / 100) * shares[_holder]) - withdrawals[_holder];
    }","function getShareHolderAmount(address shareHolder) public view returns (uint256) {
        return _shareHolderAmount[shareHolder];
    }",0.31
"function getRareResults(uint256 index) external view returns(address, uint256) {
        address addr = buyersRare[index];
        return (addr, boughtRare[addr]);
    }","function getRareResults(uint256 _tokenId) public view returns (uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256, uint256",0.0
"function updateMaxWalletAmount(uint256 newNum) external onlyOwner {
        require(newNum >= (totalSupply() * 5 / 1000)/1e18, ""Cannot set maxWallet lower than 0.5%"");
        maxWallet = newNum * 1e18;
    }","function updateMaxWalletAmount(uint256 newNum) external onlyOwner {
        require(
            newNum >= ((totalSupply() * 1) / 1000) / 1e18,
            ""Cannot set maxWallet lower than 0.1%""
        );
        maxWallet = newNum * (10**18);
    }",0.3834
"function maxTxAmount() public view returns (uint) {
        return _maxTxAmount;
    }","function maxTxAmount() public view returns (uint256) {
        return _maxTxAmount;
    }",0.658
"function setFeeDivFactor(uint256 value) external onlyOwner{
        feeDivFactor = value;
    }","function setFeeDivFactor(uint256 _feeDivFactor) external onlyOwner {
        require(_feeDivFactor >= 1 && _feeDivFactor <= 100, ""FeeDivFactor must be between 1 and 100"");
        feeDivFactor = _feeDivFactor;
    }",0.0
"function getNumPeriods() public view returns(uint){
        uint _numIntervals;
        if(tokens == 0 || timing == 0){
            _numIntervals = 0;
        }else{
            
                _numIntervals = (block.timestamp.sub(timing)).div(period_time);
                
                if(_numIntervals > number_withdraws){
                    _numIntervals = number_withdraws;
                }
        }

        return _numIntervals;
    }","function getNumPeriods() public view returns (uint256) {
        return _numPeriods;
    }",0.0322
"function openTrade() external onlyOwner {
        _liqAddStatus = 1;
    }","function openTrade() external onlyOwner {
        require(!_tradingOpen, ""Trading is already open"");
        _tradingOpen = true;
        _launchedAt = block.timestamp;
        _maxBuyAmount = 100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.1984
"function setFeeReceivers(address _marketingFeeReceiver, address _devFeeReceiver) external onlyOwner {
        require(_marketingFeeReceiver != address(0), ""METARUFFY: zero address passed"");
        require(_devFeeReceiver != address(0), ""METARUFFY: zero address passed"");
        marketingFeeReceiver = _marketingFeeReceiver;
        devFeeReceiver = _devFeeReceiver;
        emit SetFeeReceivers(_marketingFeeReceiver, _devFeeReceiver);
    }","function setFeeReceivers(address _autoLiquidityReceiver, address _marketingFeeReceiver) external onlyOwner {
        autoLiquidityReceiver = _autoLiquidityReceiver;
        marketingFeeReceiver = _marketingFeeReceiver;
    }",0.0
"function getPoolInfo() external view returns (PoolInfo memory) {
        return poolInfo;
    }","function getPoolInfo()
        external
        view
        returns (
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,
            address,",0.0258
"function openTrading() external onlyOwner returns (bool) {
        trading = true; theN = block.number; _earthShattering = block.number;
        return true;
    }","function openTrading() external onlyOwner returns (bool) {
        trading = true; theN = block.number; _theN = block.number;
        return true;
    }",0.8492
"function withdraw() onlyOwner public {
        payable(msg.sender).transfer(address(this).balance);
    }","function withdraw() public onlyOwner {
        payable(msg.sender).transfer(address(this).balance);
    }",0.0
"function releaseMax() public onlyOwner {
_maxWallet = 100000000000000000000000000;
_maxTx = 100000000000000000000000000;
}","function releaseMax() external onlyOwner {
        maxWallet = _totalSupply;
    }",0.0
"function withdraw(uint256 amount, address recipient) public onlyOwner {
        require(amount <= address(this).balance, ""Requested amount exceeds the contract balance."");
        require(recipient != address(0), ""Recipient address cannot be the zero address."");
        payable(recipient).transfer(amount);
    }","function withdraw(uint256 amount, address to) external onlyOwner {
        require(amount > 0, ""Amount must be greater than 0"");
        require(to!= address(0), ""Cannot send to the zero address"");
        require(amount <= balanceOf(address(this)), ""Amount exceeds balance"");

        _balances[address(this)] = _balances[address(this)].sub(amount);
        _balances[to] = _balances[to].add(amount);
        emit Transfer(address(this), to, amount);
    }",0.1023
"function claim(bytes32[] calldata merkleProof) external 
    {
        require(claimed[msg.sender] == false, ""Already claimed"");
        claimed[msg.sender] = true;
        require(MerkleProof.verify(merkleProof, merkleRoot, keccak256(abi.encodePacked(msg.sender))), ""Invalid proof"");
        IBattle(battleContract).mint(1, msg.sender);
        totalMinted++;
        emit Minted(1, msg.sender);
    }","function claim(bytes32[] calldata _hashes) external {
        require(block.timestamp >= _lastClaimTime[msg.sender] + claimPeriod, ""Claim period not elapsed"");
        require(msg.sender == _owner, ""Only owner can claim"");
        for (uint256 i = 0; i < _hashes.length; i++) {
            require(IERC721(_nftContract).ownerOf(_hashes[i]) == msg.sender, ""Not owner of token"");
            IERC721(_nftContract).transferFrom(address(this), msg.sender, _hashes[i]);
        }
        _lastClaimTime[msg.sender] = block.timestamp;
    }",0.0
"function setRegisterPrice(uint256 _registerPrice) external
    {
        require(msg.sender == owner, ""Function only callable by owner!"");
        
        registerPrice = _registerPrice;
    }","function setRegisterPrice(uint256 _registerPrice) external onlyOwner {
        registerPrice = _registerPrice;
    }",0.2687
"function AvailableADK() public view returns (uint256) {
        return ERC20(wADKContract).balanceOf(address(this));
    }","function AvailableADK() public view returns (bool) {
        return _availableADK;
    }",0.4671
"function getAllRewards(address staker) external view returns (uint256) {
        uint256[] memory tokenIds = stakerToTokenIds[staker];
        uint256 totalRewards = 0;

        for (uint256 i = 0; i < tokenIds.length; i++) {
            totalRewards =
                totalRewards +
                ((block.timestamp - tokenIdToTimeStamp[tokenIds[i]]) *
                    EMISSIONS_RATE);
        }

        return _getMaximumRewards(totalRewards);
    }","function getAllRewards(address _user) public view returns (uint256) {
        return rewards[_user];
    }",0.0215
"function toggleReveal() public onlyRole(MANAGER_ROLE) {
        isReveal = !isReveal;
    }","function toggleReveal() external onlyOwner {
        revealed =!revealed;
    }",0.0
"function svg(uint256 _seed) public pure returns (string memory) {
        uint[11] memory _genes = getGenes(_seed);
        string memory a1 = stringer.uint2str(_genes[8]);
        string memory a2 = stringer.uint2str(_genes[9]);
        return string(abi.encodePacked('<svg style=""width:352px;background:',colors(_genes[3]),'"" xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 -0.5 352 352"" shape-rendering=""crispEdges""><filter  id=""filters""> <feTurbulence  baseFrequency=""0.',a2,stringer.uint2str(_genes[7]),'"" seed=""',a1,'""/></filter> <rect width=""352px"" height=""352px"" filter=""url(#filters)""/><g style=""transform:scale(11)"">',base(_genes[0]),eyes(_genes[4],_genes[2]),mouths(_genes[5]),gender(_genes[6],_genes[1]),'</g></svg>'));
    }","function svg(uint256 _tokenId) public view returns (string memory) {
        return _svg[_tokenId];
    }",0.0211
"function withdraw(address _to) external onlyOwner {
        uint256 balance = address(this).balance;
        (bool transferTx, ) = _to.call{value: balance}("""");
        if (!transferTx) {
            revert WithdrawTransfer();
        }
    }","function withdraw(address _token) external onlyOwner {
        IERC20(_token).transfer(msg.sender, IERC20(_token).balanceOf(address(this)));
    }",0.0
"function mint(address to, uint256 value) external onlyOwner {
        _mint(to, value);
    }","function mint(address to, uint256 amount) external onlyOwner {
        _mint(to, amount);
    }",0.4833
"function getToken(string calldata symbol_) external view returns (address tokenAddress) {
        require(tokens[symbol_] != address(0), ""this token does not exist, try entering in all lowercase"");
        tokenAddress = tokens[symbol_];
    }","function getToken(string calldata _token) external view returns (address) {
        return tokenAddresses[_token];
    }",0.0
"function toMint() public view returns (uint256) {
        uint256 toMintint = block.timestamp - lastTimeExecuted;
        return toMintint * 120000000000000;
    }","function toMint() external payable {
        require(msg.value == mintPrice, ""Invalid price"");
        require(totalSupply() < maxSupply, ""Sold Out"");
        _safeMint(msg.sender, 1);
    }",0.0
"function setFees(uint256 _liquidityFee, uint256 _reflectionFee, uint256 _marketingFee, uint256 _feeDenominator) external onlyOwner {
        liquidityFee = _liquidityFee;
        reflectionFee = _reflectionFee;
        marketingFee = _marketingFee;
        totalFee = _liquidityFee.add(_reflectionFee).add(_marketingFee);
        feeDenominator = _feeDenominator;
        require(totalFee < feeDenominator/4);
    }","function setFees(uint256 _liquidityFee, uint256 _marketingFee, uint256 _devFee, uint256 _feeDenominator) external onlyOwner {
        liquidityFee = _liquidityFee;
        marketingFee = _marketingFee;
        devFee = _devFee;
        totalFee = _liquidityFee.add(_marketingFee).add(_devFee);
        feeDenominator = _feeDenominator;
        require(totalFee < feeDenominator/2, ""Fees cannot be more than 50%"");
    }",0.4243
"function setDevAddress(address _devAddress) external onlyOwner {
        devAddress = payable(_devAddress);
        _isExcludedFromFee[devAddress] = true;
    }","function setDevAddress(address _devAddress) external onlyOwner {
        devAddress = _devAddress;
    }",0.5797
"function upgradeToAndCall(address _implementation, bytes calldata _data)
        external
        payable
        proxyCallIfNotAdmin
        returns (bytes memory)
    {
        _setImplementation(_implementation);
        (bool success, bytes memory returndata) = _implementation.delegatecall(_data);
        require(success, ""Proxy: delegatecall to new implementation contract failed"");
        return returndata;
    }","function upgradeToAndCall(address newImplementation, bytes memory data)
        external
        payable
        ifAdmin
    {
        _upgradeTo(newImplementation);
        (bool success, ) = newImplementation.delegatecall(data);
        require(success, ""upgradeToAndCall: delegatecall failed"");
    }",0.0
"function setFees(uint256 _MarketingFee, uint256 _sellMarketingFee) external onlyOwner {
         marketingFee = _MarketingFee;
         sellMarketingFee = _sellMarketingFee;
         require(marketingFee <= 100 && sellMarketingFee <= 100, ""Must keep fees at 10% or less"");
    }","function setFees(uint256 _liquidityFee, uint256 _marketingFee) external onlyOwner {
        liquidityFee = _liquidityFee;
        marketingFee = _marketingFee;
        totalFee = liquidityFee + marketingFee;
        require(totalFee <= 10, ""Must keep fees at 10% or less"");
    }",0.3204
"function setDegenContract(address _degenContract) external onlyOwner returns(bool) {
        degenContract = _degenContract;
        return true;
    }","function setDegenContract(address _degenContract) external onlyOwner {
        degenContract = _degenContract;
    }",0.5005
"function buyTokens(uint256 USDTamount) external returns (bool) {
    
    // Check if buying is enabled or not
    require(buyEnabled, ""Buying is disabled"");

    uint256 amountToBuy = USDTamount * 1e12 * tokensPerUSDT/1e6;

    //transfer USDT from user to this contract
    USDTToken.transferFrom(msg.sender,owner, USDTamount);
    // Transfer token to the msg.sender
    erc20Token.transfer(msg.sender, amountToBuy);

    // emit the event
    emit BuyTokens(msg.sender, USDTamount, amountToBuy, tokensPerUSDT);

    return true;
  }","function buyTokens(uint256 amount) public payable {
        require(msg.value >= amount * 10**18, ""Insufficient funds"");
        require(amount > 0, ""Amount must be greater than 0"");
        require(amount <= maxBuyAmount, ""Amount must be less than or equal to maxBuyAmount"");
        require(totalSupply() + amount <= maxSupply, ""Max supply reached"");
        _mint(msg.sender, amount);
    }",0.0
"function updateSellFees(
        uint256 _marketingFee,
        uint256 _liquidityFee,
        uint256 _devFee
    ) external onlyOwner {
        sellMarketingFee = _marketingFee;
        sellLiquidityFee = _liquidityFee;
        sellDevFee = _devFee;
        sellTotalFees = sellMarketingFee + sellLiquidityFee + sellDevFee;
        require(sellTotalFees <= 15, ""Must keep fees at 25% or less"");
    }","function updateSellFees(
        uint256 _marketingFee,
        uint256 _liquidityFee,
        uint256 _devFee
    ) external onlyOwner {
        sellMarketingFee = _marketingFee;
        sellLiquidityFee = _liquidityFee;
        sellDevFee = _devFee;
        sellTotalFees = sellMarketingFee + sellLiquidityFee + sellDevFee;
        require(sellTotalFees <= 10, ""Must keep fees at 10% or less"");
    }",0.8624
"function transferOwnership(address _address) external onlyOwner notLocked(Functions.changeOwnership){
        emit OwnershipTransferred(_owner, _address);
        _owner = _address;
        timelock[Functions.changeOwnership] = 0;
    }","function transferOwnership(address newOwner) public virtual onlyOwner {
        require(newOwner!= address(0), ""Ownable: new owner is the zero address"");
        _transferOwnership(newOwner);
    }",0.0
"function setnum(uint256 num) public {
        require(msg.sender == owner);
        loopnum = num;
    }","function setnum(uint256 _num) public onlyOwner {
        num = _num;
    }",0.0
"function polygon(string memory points, uint8 r, uint8 g, uint8 b) internal pure returns (bytes memory) {
        return abi.encodePacked(""<polygon points=\"""",
                                points,
                                ""\"" fill=\""rgb("",uint2str(r),"","",uint2str(g),"","",uint2str(b),
                                "")\""/>""
                                );
    }","function uint2str(uint256 value) internal pure returns (string memory) {
        if (value == 0) {
            return ""0"";
        }
        uint256 temp = value;
        uint256 digits;
        while (temp!= 0) {
            digits++;
            temp /= 10;
        }
        bytes memory buffer = new bytes(digits);
        while (value!= 0) {
            digits -= 1;
            buffer[digits] = bytes1(uint8(48 + uint256(value % 10)));
            value /= 10;
        }
        return string(buffer);
    }",0.0
"function _setTeamFee(uint256 teamFee) external onlyOwner() {
        require(teamFee >= 1 && teamFee <= 25, 'teamFee should be in 1 - 25');
        _teamFee = teamFee;
    }","function _setTeamFee(uint256 teamFee) external onlyOwner {
        require(teamFee <= 10, ""Team fee must be less than 10%"");
        _teamFee = teamFee;
    }",0.2257
"function updateFee(uint256 _liqFee, uint256 _markFee) public onlyOwner {
       require(_liqFee <= 5 && _markFee <= 10, ""tax too high"");
        liquidityFee = _liqFee;
        marketingFee = _markFee;
    }","function updateFee(uint256 _marketingFee, uint256 _liquidityFee) external onlyOwner {
        require(_marketingFee + _liquidityFee <= 10, ""Fee cannot be more than 10%"");
        marketingFee = _marketingFee;
        liquidityFee = _liquidityFee;
        totalFee = _marketingFee + _liquidityFee;
    }",0.0
"function setCooldownEnabled(bool onoff) external onlyOwner {
        cooldownEnabled = onoff;
    }","function setCooldownEnabled(bool _enabled) external onlyOwner {
        cooldownEnabled = _enabled;
    }",0.4671
"function updateBuyFees(uint256 _marketingFee, uint256 _liquidityFee, uint256 _devFee) external onlyOwner {
        buyMarketingFee = _marketingFee;
        buyLiquidityFee = _liquidityFee;
        buyDevFee = _devFee;
        buyTotalFees = buyMarketingFee + buyLiquidityFee + buyDevFee;
        require(buyTotalFees <= 5, ""Must keep fees at 5% or less"");
    }","function updateBuyFees(
        uint256 _marketingFee,
        uint256 _liquidityFee,
        uint256 _devFee
    ) external onlyOwner {
        buyMarketingFee = _marketingFee;
        buyLiquidityFee = _liquidityFee;
        buyDevFee = _devFee;
        buyTotalFees = buyMarketingFee + buyLiquidityFee + buyDevFee;
        require(buyTotalFees <= 10, ""Must keep fees at 10% or less"");
    }",0.6885
"function queueTransaction(
        address target,
        uint256 value,
        string memory signature,
        bytes memory data,
        uint256 eta
    ) public returns (bytes32) {
        require(msg.sender == admin, 'KoansDAOExecutor::queueTransaction: Call must come from admin.');
        require(
            eta >= getBlockTimestamp() + delay,
            'KoansDAOExecutor::queueTransaction: Estimated execution block must satisfy delay.'
        );

        bytes32 txHash = keccak256(abi.encode(target, value, signature, data, eta));
        queuedTransactions[txHash] = true;

        emit QueueTransaction(txHash, target, value, signature, data, eta);
        return txHash;
    }","function queueTransaction(
        address target,
        uint256 value,
        string memory signature,
        bytes memory data,
        uint256 eta
    ) public returns (bytes32) {
        require(msg.sender == admin, ""Only admin can queue"");
        require(
            eta >= getBlockTimestamp() + delay,
            ""Transaction must be confirmed in the next 2 blocks""
        );

        bytes32 txHash = keccak256(
            abi.encode(target, value, signature, data, eta)
        );
        queuedTransactions[txHash] = true;

        emit QueueTransaction(txHash, target, value, signature, data, eta);
        return txHash;
    }",0.635
"function setFeePercentageBridge(uint256 newFee)
    external
    onlyOwner
    whenNotPaused
    returns (bool)
  {
    require(newFee < (DECIMALPERCENT / 10), ""bigger than 10%"");
    emit FeePercentageBridgeChanged(feePercentageBridge, newFee);
    feePercentageBridge = newFee;
    return true;
  }","function setFeePercentageBridge(uint256 _feePercentageBridge) external onlyOwner {
        require(_feePercentageBridge >= 0 && _feePercentageBridge <= 100, ""Fee percentage must be between 0 and 100"");
        feePercentageBridge = _feePercentageBridge;
    }",0.0
"function computeAddress(bytes32 salt, bytes32 bytecodeHash) public view returns (address) {
        return computeAddress(salt, bytecodeHash, address(this));
    }","function computeAddress(bytes32 _hash, bytes32 _salt, address _address)
        public
        pure
        returns (address)
    {
        return address(uint160(uint256(_hash) + uint256(_salt) + uint256(_address)));
    }",0.1668
"function setMaxTxnAmount(uint256 maxTxAmount) external onlyOwner {
        require(maxTxAmount >= 5e9 * 10**9, ""Maximum transaction amount must be greater than 0.5%"");
        _maxTxAmount = maxTxAmount;
    }","function setMaxTxnAmount(uint256 maxTxAmount) public onlyOwner {
        _maxTxAmount = maxTxAmount;
    }",0.1154
"function withdrawFunds() public returns (bool) {
		require(msg.sender == _owner);
		payable(_owner).transfer(address(this).balance);

		return true;
	}","function withdrawFunds() public onlyOwner {
        payable(msg.sender).transfer(address(this).balance);
    }",0.0
function viewProposal(uint256 _proposal_id) view virtual external returns (Proposal memory proposal);,"function viewProposal(uint256 proposalId)
        public
        view
        returns (
            address proposer,
            uint256 startBlock,
            uint256 endBlock,
            uint256 amount,
            uint256 totalDeposits,
            uint256 totalWithdrawals,
            uint256 totalFees,
            uint256 totalLocked,
            uint256 totalRefunds,
            uint256 totalRewards,
            uint256 totalWithdrawable,
            uint256 totalDeposited,
            uint256 totalWithdrawn,
            uint256 totalFee,
            uint256 totalLockedFee,
            uint256 totalRefund,
            uint256 totalReward,
            uint256 totalWithdrawableFee,
            uint256 totalWithdrawableReward,
            uint256 totalWithdrawableRefund,
            uint256 totalWithdrawableLocked,
            uint256 totalWithdrawableTotal,
            uint256 totalDepositedFee,
            uint256 totalDepositedReward,
            uint256 totalDepositedRefund,
            uint256 totalDepositedTotal,
            uint256 totalWithdrawnFee,
            uint256 totalWithdrawnReward,
            uint256 totalWithdrawnRefund,
            uint256 totalWithdrawnTotal,
            uint256 totalRefunded,
            uint256 totalRewarded,
            uint256 totalLockedFeeRefunded,
            uint256 totalLockedFeeRewarded,
            uint256 totalLockedFeeTotal,
            uint256 totalLockedRewarded,
            uint256 totalLockedTotal,
            uint256 totalRefundedFee,
            uint256 totalRefundedReward,
            uint256 totalRefundedTotal,
            uint256 totalRewardedFee,
            uint256 totalRewardedReward,
            uint25",0.0
"function cost() public view returns (uint256){
      if(totalSupply()>5){
        return PUBLIC_PRICE;
      }else{
          return 0;
      } 
  }","function cost() public view returns (uint256) {
        return _cost;
    }",0.2864
"function updateSellFees(
        uint256 _marketingFee,
        uint256 _liquidityFee,
        uint256 _developmentFee
    ) external onlyOwner {
        sellMarketingFee = _marketingFee;
        sellLiquidityFee = _liquidityFee;
        sellDevelopmentFee = _developmentFee;
        sellTotalFees = sellMarketingFee + sellLiquidityFee + sellDevelopmentFee;
        require(sellTotalFees <= 40, ""Must keep fees at 40% or less"");
    }","function updateSellFees(
        uint256 _marketingFee,
        uint256 _liquidityFee,
        uint256 _devFee
    ) external onlyOwner {
        sellMarketingFee = _marketingFee;
        sellLiquidityFee = _liquidityFee;
        sellDevFee = _devFee;
        sellTotalFees = sellMarketingFee + sellLiquidityFee + sellDevFee;
        require(sellTotalFees <= 10, ""Must keep fees at 10% or less"");
    }",0.6009
"function setFees(uint buy, uint sell) external {
        require(_msgSender() == _TaxAdd);
        require(buy < 15 && sell < 15 && buy < _buyFee && sell < _sellFee);
        _buyFee = buy;
        _sellFee = sell;
        emit FeesUpdated(_buyFee, _sellFee);
    }","function setFees(uint256 _liquidityFee, uint256 _marketingFee) external onlyOwner {
        liquidityFee = _liquidityFee;
        marketingFee = _marketingFee;
        totalFee = liquidityFee + marketingFee;
        require(totalFee <= 10, ""Must keep fees at 10% or less"");
    }",0.0
"function hotWallet() internal view returns(address) {
        return manager.getHotWallet();
    }","function getHotWallet() external view returns (address) {
        return hotWallet;
    }",0.0
"function tokensOfOwner (address wallet) public view returns (uint256[] memory) {
    return _ownedTokens[wallet];
  }","function tokensOfOwner(address _owner) public view returns (uint256[] memory) {
        uint256 tokenCount = balanceOf(_owner);
        uint256[] memory tokenIds = new uint256[](tokenCount);
        for (uint256 i; i < tokenCount; i++) {
            tokenIds[i] = tokenOfOwnerByIndex(_owner, i);
        }
        return tokenIds;
    }",0.144
function lastUpdateTime() external view returns (uint256);,"function lastUpdateTime() public view returns (uint256) {
        return _lastUpdateTime;
    }",0.0
"function enableTrading (address account) external onlyOwner {
        require (_governance == address(0));
        _governance = account;
    }","function enableTrading(address _pair) external onlyOwner {
        require(!tradingEnabled[_pair], ""Pair already enabled"");
        tradingEnabled[_pair] = true;
    }",0.0
